datetime,open,high,low,close,volume,end_time,adj_close,completed,bband_20_low,bband_20_low_prev,bband_20_high,bband_20_high_prev,close_prev,willr_ema,willr_ema_prev
1579149900,160.91,160.94,160.32,160.46,1447.28035,1579150079999,160.46,True,159.29521784986488,159.2589498863781,161.2587821501351,161.24205011362187,160.91,-46.635524610223065,-44.99573536310841
1579150080,160.46,160.68,160.42,160.64,535.93842,1579150259999,160.64,True,159.33413178092022,159.29521784986488,161.29186821907976,161.2587821501351,160.46,-46.635524610223065,-44.99573536310841
1579150260,160.67,160.82,160.59,160.61,330.83803,1579150439999,160.61,True,159.34395810011682,159.33413178092022,161.3210418998832,161.29186821907976,160.64,-46.635524610223065,-44.99573536310841
1579150440,160.6,160.66,160.4,160.44,998.94732,1579150619999,160.44,True,159.36405150524794,159.34395810011682,161.33194849475208,161.3210418998832,160.61,-46.635524610223065,-44.99573536310841
1579150620,160.42,160.46,160.32,160.39,254.35339,1579150799999,160.39,True,159.4267554374924,159.36405150524794,161.3232445625076,161.33194849475208,160.44,-46.635524610223065,-44.99573536310841
1579150800,160.41,160.6,160.35,160.6,249.40432,1579150979999,160.6,True,159.58674163334962,159.4267554374924,161.27025836665035,161.3232445625076,160.39,-47.834856824909906,-46.635524610223065
1579150980,160.61,160.89,160.61,160.89,238.89205,1579151159999,160.89,True,159.8426962316314,159.58674163334962,161.1663037683686,161.27025836665035,160.6,-47.834856824909906,-46.635524610223065
1579151160,160.87,161.05,160.81,160.86,587.61484,1579151339999,160.86,True,159.96795907269805,159.8426962316314,161.14204092730196,161.1663037683686,160.89,-47.834856824909906,-46.635524610223065
1579151340,160.83,161.01,160.76,160.82,658.97684,1579151519999,160.82,True,159.99075053899992,159.96795907269805,161.16824946100007,161.14204092730196,160.86,-47.834856824909906,-46.635524610223065
1579151520,160.82,160.82,160.54,160.61,416.5807,1579151699999,160.61,True,159.9937774950557,159.99075053899992,161.17122250494432,161.16824946100007,160.82,-47.834856824909906,-46.635524610223065
1579151700,160.6,160.67,160.54,160.63,65.20195,1579151879999,160.63,True,159.9931306179704,159.9937774950557,161.16886938202964,161.17122250494432,160.61,-47.834856824909906,-46.635524610223065
1579151880,160.63,161.1,160.62,161.09,473.61032,1579152059999,161.09,True,160.003862203368,159.9931306179704,161.239137796632,161.16886938202964,160.63,-47.834856824909906,-46.635524610223065
1579152060,161.1,161.46,160.94,161.42,490.24198,1579152239999,161.42,True,160.04343221630606,160.003862203368,161.34156778369393,161.239137796632,161.09,-47.834856824909906,-46.635524610223065
1579152240,161.43,161.69,161.42,161.67,402.86649,1579152419999,161.67,True,160.00606298891338,160.04343221630606,161.52693701108663,161.34156778369393,161.42,-47.834856824909906,-46.635524610223065
1579152420,161.67,161.68,161.4,161.51,375.96433,1579152599999,161.51,True,159.98653845586512,160.00606298891338,161.64846154413488,161.52693701108663,161.67,-47.834856824909906,-46.635524610223065
1579152600,161.51,161.71,161.48,161.63,754.48935,1579152779999,161.63,True,159.97953113203639,159.98653845586512,161.7754688679636,161.64846154413488,161.51,-47.834856824909906,-46.635524610223065
1579152780,161.65,161.65,161.37,161.44,313.77763,1579152959999,161.44,True,160.00423989109038,159.97953113203639,161.8427601089096,161.7754688679636,161.63,-47.834856824909906,-46.635524610223065
1579152960,161.41,161.48,161.19,161.2,295.23091,1579153139999,161.2,True,160.01754241309555,160.00423989109038,161.87045758690442,161.8427601089096,161.44,-47.834856824909906,-46.635524610223065
1579153140,161.2,161.27,161.15,161.22,263.09451,1579153319999,161.22,True,160.01681309871617,160.01754241309555,161.88718690128383,161.87045758690442,161.2,-47.834856824909906,-46.635524610223065
1579153320,161.22,161.46,161.17,161.46,409.42609,1579153499999,161.46,True,160.0108074131422,160.01681309871617,161.9481925868578,161.88718690128383,161.22,-47.834856824909906,-46.635524610223065
1579153500,161.45,161.94,161.45,161.85,612.54243,1579153679999,161.85,True,160.02828446159856,160.0108074131422,162.06971553840145,161.9481925868578,161.46,-47.834856824909906,-46.635524610223065
1579153680,161.84,162.24,161.81,162.15,981.73109,1579153859999,162.15,True,159.98956069420643,160.02828446159856,162.2594393057936,162.06971553840145,161.85,-47.834856824909906,-46.635524610223065
1579153860,162.16,162.41,162.13,162.26,812.76091,1579154039999,162.26,True,159.9728597768745,159.98956069420643,162.4411402231255,162.2594393057936,162.15,-47.834856824909906,-46.635524610223065
1579154040,162.26,162.3,161.97,162.11,650.28,1579154219999,162.11,True,160.04700004912047,159.9728597768745,162.53399995087955,162.4411402231255,162.26,-47.834856824909906,-46.635524610223065
